abstract,ACL,ACL_std,adversative_conj,AMP,analytic_negation,ASL,ASL_std,attributive_adjective,aux_adj,AWL,BE,book,BPIN,BYPA,CAUS,classical_functional_words,classical_syntax,classifier,CONC,COND,dash,DEMP,descriptive,di_verbs,disposal_marker_ba,disposal_marker_jiang,disyllabic_words,DPAR,DWNT,emotion,english,EX,exclamation,experiential,FPP,FPPH,HDG,honourifics,HSK_1,HSK_3,HSK_6,humbles,imperfect_aspect,INPR,interrogative,intransitive,JJ,KEMD,lexical_density,men_suffix,modify_adv,modify_marker_de,modify_marker_dedi,modify_marker_di,MOMD,mono_verbs,NEMD,nn,NOMZ,noun,onomatopoeia,OR,other_conj,other_personal,particle,PEAS,performative_verb,person,PHC,PIN,place,PRIV,PUBV,purpose_prep,question,quote,RB,similie,SMP,SPP,STTR,synthectic_negation,TIME,TPP,unique,verbverb,WH
9.36,3.5,3.02,0,5.96,13.19,14.88,12.51,1.6,2,1.26,13.19,0,0.4,1.2,0.43,1.2,0.43,42.38,0.43,1.2,26.39,21.19,0.8,199.49,2,0.4,0,0,0.43,8.09,0.85,12,8.8,2.8,34.89,0,0.85,5.53,320.43,120.43,90.64,2.13,10,4.26,10.4,22.39,32.39,3.83,732.74,0,23.99,1.6,31.59,6.4,2.98,168.8,3.4,20.39,16.4,155.14,0,0,5.6,5.6,22.39,12.79,0,2,6.4,27.99,18.39,21.6,21.19,0.43,10.8,26.39,67.97,2,0,34.47,189.79,2.8,2,3.83,94.89,21.59,1.6
12.4,3.88,3.27,0.4,8.4,17.48,15.67,18.1,3.28,2.19,1.27,11.75,0,1.09,1.09,0,2.19,0.4,33.05,0.8,3.28,21.85,14.48,0.82,195.34,4.1,0.82,2.8,0,0,15.59,0.4,6.01,6.56,2.19,33.99,0.8,0,12.79,309.88,152.74,92.76,2.8,11.47,6.4,12.84,22.4,30.05,1.2,708.5,0.27,14.75,2.19,31.41,6.28,4.8,154.86,5.2,19.67,14.21,162.52,0.55,0.4,4.37,11.47,26.22,15.57,0.27,2.46,4.37,29.5,16.94,19.12,20.49,0.4,15.57,35.51,60.91,1.09,0,50.78,229.51,2.19,7.92,6.4,139.14,15.57,4.37
16.03,4.93,3.61,3.21,11.4,18.59,17.83,16.69,2.86,1.43,1.32,16.45,0,0.72,0.72,3.21,4.65,1.07,28.6,1.78,1.79,42.55,17.16,0.36,164.63,2.86,0,4.63,0,0.71,16.39,2.14,5.36,15.37,1.07,22.09,0.71,0.71,6.06,271.11,141.08,102.24,0,8.94,5.34,11.08,18.59,31.46,1.78,691.46,0.72,23.6,3.22,32.53,1.43,3.21,165.85,3.21,23.24,11.44,166.61,0,3.21,5.01,4.29,35.75,10.37,0,27.89,3.22,21.81,26.46,16.81,10.01,0,14.66,6.44,68.29,1.43,0,20.31,285,2.5,6.44,4.28,175.28,11.08,5.36
10.51,5.6,3.41,1.31,13.13,15.34,23.82,19.16,3.51,3.51,1.28,10.52,0,0.88,2.63,0.88,0,0.44,22.36,1.75,2.63,36.83,14.47,0,195.4,3.95,0,6.13,0.44,0.44,22.77,1.31,4.38,12.28,1.32,27.15,0.44,2.19,14.01,281.96,163.75,114.71,2.63,12.71,3.5,9.21,21.92,43.4,3.94,729.89,0,19.73,2.63,21.04,8.33,6.57,192.53,6.13,21.04,6.58,156.07,1.75,1.31,4.38,3.07,30.25,14.03,0,13.15,4.38,19.73,18.85,16.23,27.62,0.44,14.03,40.99,58.31,1.32,0,15.76,286.78,0,6.58,11.38,170.75,16.66,4.38
5.51,5.34,3.95,0.74,12.86,16.94,20.77,15.74,7.73,0.74,1.3,13.63,0,0,1.84,0.74,0.37,0.37,32.78,0.74,2.58,44.2,16.94,1.47,167.47,2.95,0,5.15,0.74,1.1,13.23,0.74,4.79,17.68,0.74,16.54,0.37,0.74,9.56,266.08,169.06,95.55,6.62,10.68,2.57,8.84,24.31,35.36,2.57,693.98,0,22.47,2.58,19.89,2.95,9.19,181.93,8.45,16.57,5.15,163.9,0.37,0.74,4.05,4.79,28.73,14.36,0,24.31,1.1,18.78,13.63,13.61,20.26,0,11.42,22.1,69.98,0,0.37,17.27,284.82,0,5.16,7.35,168.69,19.15,3.31
11.13,5.5,4.79,0.7,10.78,15.66,19.83,16.58,9.05,3.48,1.38,13.22,7.31,0,1.39,1.74,1.04,1.04,23.66,1.74,1.39,33.05,16.7,2.09,178.15,1.04,0,10.43,0,1.04,15.99,3.48,3.83,6.61,2.09,17.04,0.7,1.39,6.26,269.12,147.43,94.23,1.74,10.79,6.61,12.18,18.44,31.32,1.04,669.83,0,21.92,2.44,32.01,3.13,4.52,167.46,4.87,19.49,14.27,145.79,1.04,0.7,3.48,2.09,29.58,12.87,0.35,43.15,2.78,21.22,16.7,16.71,16.7,0,5.92,27.49,65.07,1.74,0,19.82,283.73,2.09,17.05,7.3,166.2,17.75,4.18
6.01,3.27,2.88,0,14.52,13.54,8.56,6.56,1.5,1,1.37,21.06,0,0,0,0,1.5,3,15.55,2,0.5,83.75,25.08,1.5,150.91,2.01,0,2.5,0.5,0,16.02,3.51,4.51,5.52,2.51,23.03,7.01,0.5,4.51,262.39,132.7,88.13,0.5,17.05,7.51,12.54,23.07,34.1,0.5,641.85,0,23.07,0.5,16.05,1,8.01,209.26,8.51,12.04,7.52,89.27,3.01,0,2.01,9.03,65.2,9.53,0,97.29,2.51,24.57,19.06,11.53,9.03,0,24.07,4.01,61.18,0.5,0.5,15.02,246.87,2.01,7.02,2.5,147.22,18.05,2.51
3.6,3.13,2.63,0,13.99,12.4,8.77,7.03,3.2,0.8,1.34,14,0,0.8,0,0,1.2,0,25.6,0.8,0,97.6,28,0.4,116.49,0.4,0,0,0.4,0,12.79,0,7.2,18.4,1.6,23.59,6.8,0,2,228.31,119.55,91.16,0,10,8,13.2,11.6,24,1.2,711.47,0,14,2,18,0,6.8,241.94,4,11.6,5.6,109.6,0.4,0,1.6,10,64.4,5.2,0,100.4,0,14.8,11.2,6,5.6,0.4,23.2,8,48.4,0.8,0,3.2,223.11,0,2.8,3.6,127.15,13.6,2.8
7.77,5,3.82,0.39,7.77,15.55,16.88,16.98,2.33,3.5,1.33,13.21,1.17,0,0.78,0.78,1.55,0.78,25.65,0,1.55,38.09,22.15,1.55,166.01,5.44,0.39,1.55,0.39,0,14.37,0.39,5.05,8.55,1.55,19.81,2.72,0,6.21,263.69,167.38,105.63,4.66,12.44,5.83,9.72,24.49,24.1,0.78,675.89,0.39,27.21,2.33,19.43,5.05,8.93,196.31,8.54,14.38,5.44,143.41,0.39,0.39,6.22,7.77,39.64,16.32,0,49.36,2.72,27.59,17.49,18.66,14.38,0,13.21,16.71,65.68,0.39,0,12.04,283.88,1.17,3.89,10.49,169.32,16.71,4.28
8.12,5.33,3.79,0,18.04,10.83,20.1,16.1,1.8,0.9,1.27,17.14,0,0.45,1.35,4.06,1.8,2.26,30.22,0.9,0.9,36.08,9.47,1.8,174.15,2.71,0.45,3.61,0.45,1.8,20.3,2.71,5.86,17.14,1.35,31.57,0.9,1.8,13.08,296.35,167.34,99.68,9.02,11.73,5.41,11.28,24.81,36.54,4.06,717.01,0,17.59,2.71,22.1,5.86,8.57,189.12,9.02,19.85,7.22,164.64,0.45,0,3.61,2.26,27.06,15.34,0,8.57,5.86,17.59,13.98,19.39,22.1,0.45,16.24,31.35,56.38,2.26,0,14.88,313.49,0.9,7.22,11.73,202.98,19.4,4.51
